username,text,sentimental
Nba Keagan,"iPhones are the best, right? Well, yes, they are very good in pretty much every aspect compared to the other counterparts. iPhone users are generally very happy with their smartphones but one of the problems is that pretty much every good app for iOS is actually paid. That makes a little disturbance and iPhone users always wish to download paid_ョ__村 apps for free on an iPhone without jailbreak.

You can download paid apps for free on an iPhone without jailbreak. There are some legit ways of doing that and in this article,

Download Paid Apps for Free on an iPhone Without JailbreakUsing Third Party Stores*AppValley* *Yiti Apps* *Panda Helper* *TweakBox*!! ? enjoy",negative
Shellee Ann Craig,At what battery health do you get a new phone. I don__ know the 13 nor the new SE really wow me. My health is at 89%. I might just buy another 12 if that health is bad. I never usually looked at my health with my other phones??_?,negative
Tam Mc Guinness,Thank you for the add,positive
Nba Keagan,any stylus alternative for iphone?,neutral
Todd Alan,"I__ available for your iCloud services
MacBook,Apple Watch and iPad unlock
FMI activation lock and lost Mode inbox me",negative
Karen Sadden,How can I get iPhone 13 Pro live wallpapers on my iPhone 12 Pro Max ?,neutral
FANCY TECH,"Valentines for you!

Phones Price list 18th Jan 2022

ESim 2yrs Warranty
Iphone 13 pro max :
13 pro max 1TB Ksh 300,000
13 pro max 512gb Ksh 260,000
13 pro max 256gb Ksh 230,000
13 pro max 128gb Ksh 220,000

iPhone 13 pro:
13 pro 256gb Ksh 185,000
13 pro 128gb Ksh 175,000

iPhone 13:
13 512gb Ksh 165,000
13 256gb Ksh 155,000
13 128gb Ksh 145,000

ESim
Iphone 13 pro max :
13 pro max 1TB Ksh 270,000
13 pro max 512gb Ksh 240,000
13 pro max 256gb Ksh 220,000
13 pro max 128gb Ksh 210,000

iPhone 13 pro:
13 pro 512gb Ksh 210,000
13 pro 256gb Ksh 185,000
13 pro 128gb Ksh 170,000

iPhone 13:
13 512gb Ksh 170,000
13 256gb Ksh 150,000
13 128gb Ksh 145,000

iPhone 13 Mini:
13 128gb Ksh 110,000
13 256gb Ksh 118,000
13 512gb Ksh 148,000

Iphone 12 pro max :
12 pro max 128gb Ksh 140,000
12 pro max 256gb Ksh 149,000
12 pro max 512gb Ksh 169,000

Iphone 12 pro:
12 pro 128gb Ksh 129,000
12 pro 256gb Ksh 139,000
12 pro 512gb Ksh 149,000

Iphone 12:
12 64gb Ksh 90,000
12 128gb Ksh 102,000
12 256gb Ksh 118,000

Iphone 12 mini:
12 mini 64gb Ksh 80,500
12 mini 128gb Ksh 87,000
12 mini 256gb Ksh 98,000

Iphone Se 2020:
Se 2020 64gb ksh 58,000  Se 2020 128gb ksh 64,000
Se 2020 256gb Ksh 73,000

iPhone 11 Pro Max:
11 pro max 256gb Ksh 115,000
11 pro max 64gb Ksh 105,000

iPhone 11 Pro:
11 pro 256gb Ksh 99,000
11 pro 64gb Ksh 89,000

Iphone 11:
11 128gb Ksh 90,000
11 64gb Ksh 84,000

Iphone 11: (Active)
11 128gb Ksh 80,000
11 64gb Ksh 77,000
11 256gb ksh 90,000

iPhone XS Max:
256gb Ksh 75,000
64gb Ksh 68,000

iPhone XS:
256gb Ksh 65,000
64gb Ksh 60,000

iPhone XR:
128gb Ksh 60,000
64gb ksh 55,000

iPhone X:
256gb Ksh 59,000
64gb Ksh 54,000

iPhone 8 Plus:
256gb Ksh 49,000
64gb Ksh 45,000

iPhone 8:
256gb Ksh 36,000
64gb Ksh 33,000

iPhone 7 plus:
256gb Ksh 39,999
128gb Ksh 36,999

iPhone 7:
256gb Ksh 33,999
128gb Ksh 26,999

iPhone 6s plus:
128gb Ksh 27,999
64gb Ksh 24,999

iPhone 6s:
128gb Ksh 22,999
64gb Ksh.18,999",negative
Karen Sadden,iPhone 15 Pro,neutral
Aku Tahvanainen,Sorry it was wrong group. My bad,negative
Mian Mobiles,"IPHONE 14 FIRST LOOK AND FEATURES
https://youtube.com/shorts/ombAWG0ekIw?feature=share",neutral
Talha Yt,"MEET IPHONE 14 PRO MAX FIRST LOOK AND BEAUTIFUL DESIGN
https://youtube.com/shorts/Na_hIJwz6k0?feature=share",neutral
Apple&IOS,"Apple&IOS
1_3_ 20:50 路",negative
Apple&IOS,Apple Watch Steel Series 7 with Milline Strap,neutral
Apple&IOS,Apple has several examples of problematic products,negative
Karen Sadden,Wheels sold separately,neutral
Apple&IOS,"Will Apple iPhone 14 Get A 120Hz Display And 6GB RAM Support?

ENCYCLOPEDIAHUB.COM
Will Apple iPhone 14 get a 120Hz display and 6GB RAM support?",neutral
Todd Alan,"Inbox me for your iCloud unlock, MacBook unlock, all your social media hack and recovery, am fast and legit",negative
Karen Sadden,"iPhone 15 Pro features Of course, the company has not yet announced the iPhone 14, but it is working on several generations of the iPhone at the same time, and some features of the upcoming iPhone 15 were_ョ__村 leaked in 2023, including
1-Adding a 48MP periscope camera for optical zoom
2- A secondary background screen for high-quality selfies and notifications
3- A frame of titanium and a background of reinforced glass with a layer of ceramic Prices will increase by $100 from the current price",negative
Apple&IOS,Apple iphone 13 pro max,neutral
Marko ?or?evi?,"According to Ross Young, this is the final hole punch design solution for the iPhone 14 Pro lineup.

#Digitalmarkings #Apple #iPhone14Pro #iPhone14",negative
Julian John,"plz Help me out,..I don__ know why my iPhone 7 doesn__ charge with a __aseus__able_it__ like it selects charging cables_anyone with an idea why,I my callers can__ hear me&can__ hear them,..?",negative
Shellee Ann Craig,Call me blonde or whatever but yesterday (Christmas eve) I had to cancel my card and had to get a new one but they__e not doing temporary cards at Bank of America anymore so until my new one comes in the mail I have to use my virtual card. My question is how do I pay for things in store? I__e never done this before,negative
Tiwari Ji,"Apple released watchOS 8.3, iOS/iPadOS 15.2, macOS 12.1 and tvOS 15.2 DP beta 3 update #News #iOS15.2 #iPadOS15.2 #Apple #watchOS8.3 #tvOS15.2 #macOS12.1

REALMICENTRAL.COM
Apple released watchOS 8.3, iOS/iPadOS 15.2, macOS 12.1 and tvOS 15.2 DP beta 3 update - Real Mi Central",negative
Karen Sadden,iPhone 14 Pro,negative
Kaja Mohideen,Thanks for accepting,positive
Uwang Juan,"Icloud Unlocking/
Removal 100% Success rate with Sim Working
Also unlocking carrier
Message me for interested",negative
Dantoro Aaron Badung,"Plz Help me out,..I don__ know why my iPhone 7 doesn__ charge with a __aseus__able_it__ like it selects charging cables_anyone with an idea why,I my callers can__ hear me&can__ hear them,..?",negative
Maurice F Shortman,Thank you for accepting me_..,positive
Alexandar Rdv,Thanks for acc,positive
Marc Johnson,"?In-app events available for all app developers, increase? your app organic visibility and engagement with it now!
?https://bit.ly/3CnltcA ?
#iOS15 #iaes #iphone #iphone13 #mobilemarketing #apppromotion #iosapp #androidapp #ASO #asoworld #mobileapp #AppStore #GooglePlayStore",negative
_fbid%22%3A%5B1056029221829403%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A6%7D%7D%3Aactrs.100063863048898%3Atds_flgs.3%3Aftmd_400706.111111l&__tn__=%2AsH-R&paipv=0&eav=AfZknIgalP6eDALk6P-1nDI4VqEbsKadIbzodXt4cqwVL0RWq6odeM0aLJ9ywa5lQhE',1.00E+14,negative
Kyle Allen,"Here's how to hide photos and videos on your iPhone and lock them with a passcode on your iPhone (for free)

YOUTUBE.COM
How To Hide Videos And Photos On iPhone And Protect With A Passcode (2021)",negative
Linkan Garg,"Apple releases iOS 15.1.1 to improve drop call performance on iPhone 12 and iPhone 13 models

IDOWNLOADBLOG.COM
Apple releases iOS 15.1.1 to improve drop call performance on iPhone 12 and iPhone 13 models",negative
Yongwen Yu,Record those unforgettable moment at any place and any time with iPhone like this compact mobile videography rig.?,neutral
Piticu Rly,Thanks for accepting,positive
Tiwari Ji,"Apple may adopt a new Titanium swirling around process for the iPhone 14 #News #Apple #iPhone14

REALMICENTRAL.COM
Apple may adopt a new Titanium swirling around process for the iPhone 14 - Real Mi Central",neutral
Taylor Faith,??? I need it for my APPLE,negative
Apple&IOS,"Will Apple iPhone 14 Get A 120Hz Display And 6GB RAM Support?

ENCYCLOPEDIAHUB.COM
Will Apple iPhone 14 get a 120Hz display and 6GB RAM support?",neutral
Marc Johnson,"Live streaming? on the way expanding, keep up with the trend to promote your brand.
?https://bit.ly/3ckYJzc ?
#streaming #livestream #liveshopping #livegame #mobilemarketing #apppromotion #iosapp #androidapp #ASO #asoworld #mobileapp #AppStore #GooglePlayStore",positive
ationStory%22%2C%22story_fbid%22%3A%5B1057236981708627%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A6%7D%7D%3Aactrs.100063863048898%3Atds_flgs.3%3Aftmd_400706.111111l&__tn__=%2AsH-R&paipv=0&eav=AfZwQrwLSKKo4cPzQRshGuqVPxlkuNVtI4153t3Vgn65k46weQTQdYWJE5zpegi24Wg',1.00E+14,negative
Pia Justynn,"The Best iPhone so far?
https://www.youtube.com/watch?v=VF3tBpv3Bi4
#iphone13

YOUTUBE.COM
Is this the Best iPhone Ever Made?",positive
Uday Garg,Expected price of iPhone 12 series,neutral
Tiwari Ji,"Check this amazing comparison of Pixel 6 Pro and iPhone 13 Pro Max #News #iPhone13ProMax #Pixel6Pro #Google #Apple

REALMICENTRAL.COM
Check this amazing comparison of Pixel 6 Pro and iPhone 13 Pro Max - Real Mi Central",positive
Swati Sinha,"Best budget smartphone discount

SITES.GOOGLE.COM
amazon festive season sale",positive
Tiwari Ji,"watchOS 8.3, iOS/iPadOS 15.2 developer preview beta released #News #iOS15.2 #iPadOS15.2 #watchOS8.3 #Update #Apple

REALMICENTRAL.COM
watchOS 8.3, iOS/iPadOS 15.2 developer preview beta released - Real Mi Central",neutral
Tiwari Ji,"iPhone 12 US users sued Apple for non-warranty during the warranty period and demanded compensation for the original price #News #Apple #iPhone12

REALMICENTRAL.COM
iPhone 12 US users sued Apple for non-warranty during the warranty period and demanded compensation for the original price - Real Mi Central",negative
Pranav Varma,"Is your iPad Pro touchscreen not working?
Try these 7 easy tips to fix the issue on your own - https://bit.ly/3E65GQv.

RAPIDREPAIR.IN
Pro Tips to Fix iPad Pro Touch Screen Not Working/Unresponsive Issue

Rapid Repair
2021骞10_23_ 16:17 路

Is your iPad Pro touchscreen not working?

Try these 7 easy tips to fix the issue on your own - https://bit.ly/3E65GQv.

#RapidRepair #ipad #ipadpro #Gurgaon #delhi #repair #FasterRepair #24hours #samedayrepair #Apple #devices #touchscreen #hacks #device #screenissue",negative
A689278925171103%2C%22page_id_type%22%3A%22group%22%2C%22actor_id%22%3A100071622651222%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A907698316833315%7D%2C%22psn%22%3A%22EntGroupMallPostCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A657%2C%22publish_time%22%3A1635145378%2C%22story_name%22%3A%22EntGroupMallPostCreationStory%22%2C%22story_fbid%22%3A%5B1042618969837095%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A6%7D%7D%3Aactrs.100071622651222%3Atds_flgs.3%3Aftmd_400706.111111l&__tn__=%2AsH-R&paipv=0&eav=AfbAJHYnTRwQWhvlTsgj_oTIjKAgyWXrgU8H4g_EiYJt2zpZHwHqJ8VVQWzfPszHfxA', {'link': '/hashtag/touchscreen?refid=18&_ft_=qid.-5399512761903740595%3Amf_story_key.1042618969837095%3Atop_level_post_id.1042618969837095%3Atl_objid.1042618969837095%3Acontent_owner_id_new.100071622651222%3Aoriginal_content_id.907698316833315%3Aoriginal_content_owner_id.164981004438387%3Apage_id.164981004438387%3Asrc.22%3Astory_location.6%3Aattached_story_attachment_style.share%3Afilter.GroupStoriesByActivityEntQuery%3Aott.ottAX-lEId_EYz1v7ON%3Asty.308%3Aattached_story_type.EntStatusCreationStory%3Aattached_story_attachment_type.ExternalShareAttachment%3Apage_insights.%7B%22164981004438387%22%3A%7B%22page_id%22%3A164981004438387%2C%22page_id_type%22%3A%22page%22%2C%22actor_id%22%3A100071622651222%2C%22attached_story%22%3A%7B%22page_id%22%3A164981004438387%2C%22page_id_type%22%3A%22page%22%2C%22actor_id%22%3A164981004438387%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A266%2C%22publish_time%22%3A1634977040%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22story_fbid%22%3A%5B907698316833315%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A6%7D%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntGroupMallPostCreationStory%22%2C%22role%22%3A1%2C%22sl%22%3A6%2C%22targets%22%3A%5B%7B%22actor_id%22%3A100071622651222%2C%22page_id%22%3A164981004438387%2C%22post_id%22%3A907698316833315%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%5D%7D%2C%22689278925171103%22%3A%7B%22page_id%22%3A689278925171103%2C%22page_id_type%22%3A%22group%22%2C%22actor_id%22%3A100071622651222%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A907698316833315%7D%2C%22psn%22%3A%22EntGroupMallPostCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A657%2C%22publish_time%22%3A1635145378%2C%22story_name%22%3A%22EntGroupMallPostCreationStory%22%2C%22story_fbid%22%3A%5B1042618969837095%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A6%7D%7D%3Aactrs.100071622651222%3Atds_flgs.3%3Aftmd_400706.111111l&__tn__=%2AsH-R&paipv=0&eav=AfbBc6cFZztGHAmSnb44rk1h2QRT0wep8djSV0k4-05cBikO4RgdX93P5ytrKp4Aizg',negative
Pranav Varma,"You can take amazing macro shots without having to upgrade, to a costlier smartphone now. All you have to do is to update/ install the Halide__ latest update on your phone. Go, start clicking!

Rapid Repair
2021骞10_11_ 14:19 路

You can take amazing macro shots without having to upgrade, to a costlier smartphone now. All you have to do is to update/ install the Halide__ latest update on your phone. Go, start clicking!

#RapidRepair #_ョ__村MobileRepair #Gurgaon #delhi #repair #FasterRepair #24hours #samedayrepair #Apple #iphone #smartphone #millennials #devices #iPhone13 #iPhone13Series #newiphone #iphoneonly #macro #photography",negative
sh_time%22%3A1635145481%2C%22story_name%22%3A%22EntGroupMallPostCreationStory%22%2C%22story_fbid%22%3A%5B1042619529837039%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A6%7D%7D%3Aactrs.100071622651222%3Atds_flgs.3%3Aftmd_400706.111111l&__tn__=%2AsH-R&paipv=0&eav=AfbygnrglwMhEDH2Mkp8cOEMOy3a6EqU4cUsF6DmOHowPUWbBz4bo8QndhdS6as79nc', {'link': '/hashtag/newiphone?refid=18&_ft_=qid.-5399512761905012556%3Amf_story_key.1042619529837039%3Atop_level_post_id.1042619529837039%3Atl_objid.1042619529837039%3Acontent_owner_id_new.100071622651222%3Aoriginal_content_id.899781037625043%3Aoriginal_content_owner_id.164981004438387%3Apage_id.164981004438387%3Asrc.22%3Aphoto_id.899779567625190%3Astory_location.6%3Aattached_story_attachment_style.photo%3Afilter.GroupStoriesByActivityEntQuery%3Aott.ottAX9fCzVl0FNtFZ25%3Asty.308%3Aattached_story_type.EntStatusCreationStory%3Aattached_story_attachment_type.MediaAttachment%3Apage_insights.%7B%22164981004438387%22%3A%7B%22page_id%22%3A164981004438387%2C%22page_id_type%22%3A%22page%22%2C%22actor_id%22%3A100071622651222%2C%22attached_story%22%3A%7B%22page_id%22%3A164981004438387%2C%22page_id_type%22%3A%22page%22%2C%22actor_id%22%3A164981004438387%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A266%2C%22publish_time%22%3A1633933158%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22story_fbid%22%3A%5B899781037625043%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A6%7D%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntGroupMallPostCreationStory%22%2C%22role%22%3A1%2C%22sl%22%3A6%2C%22targets%22%3A%5B%7B%22actor_id%22%3A100071622651222%2C%22page_id%22%3A164981004438387%2C%22post_id%22%3A899781037625043%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%5D%7D%2C%22689278925171103%22%3A%7B%22page_id%22%3A689278925171103%2C%22page_id_type%22%3A%22group%22%2C%22actor_id%22%3A100071622651222%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A899781037625043%7D%2C%22psn%22%3A%22EntGroupMallPostCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A657%2C%22publish_time%22%3A1635145481%2C%22story_name%22%3A%22EntGroupMallPostCreationStory%22%2C%22story_fbid%22%3A%5B1042619529837039%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A6%7D%7D%3Aactrs.100071622651222%3Atds_flgs.3%3Aftmd_400706.111111l&__tn__=%2AsH-R&paipv=0&eav=AfZWuGHwxIacSM1axtaRtAxvGMtsNwFY1qMxkZvlRyzENzFw8m6cprpFdlCThuBTyMA',negative
Pranav Varma,"New or old, we can repair all your iPhones in no time.
Contact us for all your devices related issues today - http://bit.ly/RRiPhoneService.

Rapid Repair
2021骞10_4_ 13:06 路

New or old, we can repair all your iPhones in no time.

Contact us for all your devices related issues today - http://bit.ly/RRiPhoneService.

#RapidRepair #MobileRepair #Gurgaon #delhi #repair #FasterRepair #24hours #samedayrepair #Apple #iphone #smartphone #millennials #devices #iPhone13 #iPhone13Series #newiphone #iphoneonly",negative
ge_id_type%22%3A%22group%22%2C%22actor_id%22%3A100071622651222%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A895242378078909%7D%2C%22psn%22%3A%22EntGroupMallPostCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A657%2C%22publish_time%22%3A1635145533%2C%22story_name%22%3A%22EntGroupMallPostCreationStory%22%2C%22story_fbid%22%3A%5B1042619999836992%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A6%7D%7D%3Aactrs.100071622651222%3Atds_flgs.3%3Aftmd_400706.111111l&__tn__=%2AsH-R&paipv=0&eav=AfYV5l3kRHAjbciyKBC6mpu-bvNPvBBaqDDsYTMQiB290N9bne27s0nLdOa1KpxQ_14', {'link': '/hashtag/iphone13?refid=18&_ft_=qid.-5399512762020847013%3Amf_story_key.1042619999836992%3Atop_level_post_id.1042619999836992%3Atl_objid.1042619999836992%3Acontent_owner_id_new.100071622651222%3Aoriginal_content_id.895242378078909%3Aoriginal_content_owner_id.164981004438387%3Apage_id.164981004438387%3Asrc.22%3Aphoto_id.895240238079123%3Astory_location.6%3Aattached_story_attachment_style.photo%3Afilter.GroupStoriesByActivityEntQuery%3Aott.ottAX9s_IPRUCRZJ1U8%3Asty.308%3Aattached_story_type.EntStatusCreationStory%3Aattached_story_attachment_type.MediaAttachment%3Apage_insights.%7B%22164981004438387%22%3A%7B%22page_id%22%3A164981004438387%2C%22page_id_type%22%3A%22page%22%2C%22actor_id%22%3A100071622651222%2C%22attached_story%22%3A%7B%22page_id%22%3A164981004438387%2C%22page_id_type%22%3A%22page%22%2C%22actor_id%22%3A164981004438387%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A266%2C%22publish_time%22%3A1633324002%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22story_fbid%22%3A%5B895242378078909%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A6%7D%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntGroupMallPostCreationStory%22%2C%22role%22%3A1%2C%22sl%22%3A6%2C%22targets%22%3A%5B%7B%22actor_id%22%3A100071622651222%2C%22page_id%22%3A164981004438387%2C%22post_id%22%3A895242378078909%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%5D%7D%2C%22689278925171103%22%3A%7B%22page_id%22%3A689278925171103%2C%22page_id_type%22%3A%22group%22%2C%22actor_id%22%3A100071622651222%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A895242378078909%7D%2C%22psn%22%3A%22EntGroupMallPostCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A657%2C%22publish_time%22%3A1635145533%2C%22story_name%22%3A%22EntGroupMallPostCreationStory%22%2C%22story_fbid%22%3A%5B1042619999836992%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A6%7D%7D%3Aactrs.100071622651222%3Atds_flgs.3%3Aftmd_400706.111111l&__tn__=%2AsH-R&paipv=0&eav=AfY7T4pWNlrc0hf_ZWcjVjgbbkRZgp4Gw6yHmuM0H_CHtaD8eW7AdiOJhINbBpYTTDE',negative
Tiwari Ji,"Apple releases macOS Monterey, iOS and iPad OS 15.1, watchOS 8.1 and tvOS 15.1 #News #Apple #iOS15.1 #Update #watchOS8.1 #macOSMonterey #tvOS15.1

REALMICENTRAL.COM
Apple releases macOS Monterey, iOS and iPad OS 15.1, watchOS 8.1 and tvOS 15.1 - Real Mi Central",negative
Sheilagh Peters,"Question for Apple Watch users. Since the latest update to the iOS I__e had my achievements stick on screen, so if I__ not paying attention and burn my calorie goal, or my stand or exercise goal and the achievement notification comes up, if I don__ clear it off it will sit there, draining my watch! Has anyone else had this issue? Has Apple had it_ョ__村 reported? Does anyone know if I can or should report this issue?? I__ upgrading in December to the 7, from my 5, praying for better battery life and I__e heard there__ faster charging(yay!!). But this issue is irritating as it__ usually if I__ travelling that I don__ catch my notifications and my watch drains quickly if I don__ tap the face to clear the achievement.",negative
Tiwari Ji,"Apple begins to push iOS 14.8.1 and iPadOS 14.8.1 security updates #News #iOS14.8.1 #iPadOS14.8.1 #Update #Apple

REALMICENTRAL.COM
Apple begins to push iOS 14.8.1 and iPadOS 14.8.1 security updates - Real Mi Central",negative
Techdotmatrix.com,"How to view AirPods Pro battery Percentage on Android smartphone?

TECHDOTMATRIX.COM
How to view AirPods Pro battery Percentage on Android smartphone? - TechDotMatrix",neutral
Bharat Rawat,"The Evolution of iPhone Over the Years

Apple recently launched the iPhone 13, and it made us nostalgic thinking about all the iPhones released over the years. The first model of the iPhone came out way back in 2007, and since then, Apple__ smartphone has come a long way.



APPLESUTRA.COM
The Evolution of iPhone Over the Years | Applesutra",negative
??? ????,"????? 7
128 ????
?????? 100%
???? ????",neutral
Abdullah Munir Bajwa,"Samsung Galaxy S21 Ultra vs. Apple iPhone 13 Pro Max _ Best Choice - Specification Comparison
Share your Choice ?

GETTHETECHNOW.COM
Galaxy S21 Ultra vs. iPhone 13 Pro Max - Best Choice | GetTheTechNow",positive
Tony Valdez,"i bought these, how bad the Apple Watch is, it might get to 1 December, how sad",negative
Apple&IOS,"Will Apple iPhone 14 Get A 120Hz Display And 6GB RAM Support?

ENCYCLOPEDIAHUB.COM
Will Apple iPhone 14 get a 120Hz display and 6GB RAM support?",neutral
Andrea Freda,"Apple Watch 7 new bug, some APP icons are missing
anyone meets that problem?
#apple #applewatch #applewatch7 #watchOS8 #watchOS #iOS #ios15

REDTOM.COM
Apple Watch Series 7 has a new bug: The APP icons do not display - RedTom - good things you like",negative
Drago? Burghi?an,"I'm back like I promise with iPhone 13 PRO unboxing, set up and first look. I let the emotions back so thank you for understanding! If you like it show me, subscribe and soon I will post some videos about review of 13 PRO & PRO MAX, comparison between them and more others about Apple stuff. Thank you! ??



YOUTUBE.COM
iPhone 13 PRO unboxing, set up and first look - from iPhone 7 to 13 PRO #appleevent #iphone13pro",neutral
Acheampong Abosi,I__ enjoying my iPhone 7plus very good,positive
Luky Wang,"No money to buy?

DiyBoo?Apple Fans Club
2021骞10_14_ 09:44 路

#iPhoneMini6
How much will it be priced?",negative
